FC,field,TotalCount,NotnullCount
Dsample,Entity,727,727
Dsample,Layer,727,727
Dsample,Color,727,727
Dsample,Linetype,727,727
Dsample,Elevation,727,688
Dsample,Thickness,727,0
Dsample,LineWt,727,727
Dsample,RefName,727,451
Dsample,GIS_Layer,727,0
Dsample,LTCSource,727,727
Dsample,LTCSourceDate,727,727
Dsample,LTCStatus,727,727
Dsample,LTCExpiryDate,727,0
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,Entity,91,91
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,Layer,91,91
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,Color,91,91
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,Linetype,91,91
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,Elevation,91,2
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,LineWt,91,91
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,RefName,91,0
test_DSC_LTC_DR2_8_SimplifiedRoute_20180717,Z_Mean,91,2
