FC,SRC system,GeometryType,TouuutalCouunt 
STATIC\POINT,British_National_Grid,Point,18551
STATIC\PIPED,British_National_Grid,Polyline,3185
STATIC\SURFACE,British_National_Grid,Polyline,1527
STATIC\POND,British_National_Grid,Polygon,10
WATER_MANAGEMENT\PIPED_Attributes,British_National_Grid,Polyline,3359
WATER_MANAGEMENT\POINT_Attributes,British_National_Grid,Point,17122
WATER_MANAGEMENT\SURFACE_Attributes,British_National_Grid,Polyline,1107
WATER_MANAGEMENT\POND_Attributes,British_National_Grid,Polygon,12
DRAINAGE\SMARTSCAN™,British_National_Grid,Polyline,0
DRAINAGE\OSR,British_National_Grid,Polyline,0
DRAINAGE\TRIALHOLE,British_National_Grid,Point,0
RESULTS\PIPED_LATEST,British_National_Grid,Polyline,3185
RESULTS\POINT_LATEST,British_National_Grid,Point,18435
RESULTS\SURFACE_LATEST,British_National_Grid,Polyline,1527
RESULTS\CONTINUOUS_HADDMS,British_National_Grid,Polyline,4714
RESULTS\POINT_HADDMS,British_National_Grid,Point,18748
RESULTS\POINT_TEMPORAL,British_National_Grid,Point,27491
RESULTS\PIPEWORK_TEMPORAL,British_National_Grid,Polyline,3323
RESULTS\SURFACE_TEMPORAL,British_National_Grid,Polyline,1556
RESULTS\POND_TEMPORAL,British_National_Grid,Polygon,8
RESULTS\POND_LATEST,British_National_Grid,Polygon,8
RESULTS\POND_HADDMS,British_National_Grid,Polygon,8
BUFFERS\MASTER_BUFFER,British_National_Grid,Polygon,42
BUFFERS\INTERSECT_BUFFER,British_National_Grid,Polygon,167
BUFFERS\LATEST_SURVEYS_BUFFER,British_National_Grid,Polygon,0
BUFFERS\ROADS,British_National_Grid,Polygon,0
BUFFERS\MASTER_SEHotspots,British_National_Grid,Polygon,0
BUFFERS\MASTER_STHotspots,British_National_Grid,Polygon,0
BUFFERS\DITCH_Hotspots,British_National_Grid,Polygon,0
BUFFERS\FILTER_Hotspots,British_National_Grid,Polygon,0
BUFFERS\SURVEYS_BY_ROAD,British_National_Grid,Polygon,0
BUFFERS\SURVEYS_BY_SCHEME,British_National_Grid,Polygon,0
BUFFERS\PIPEWORK_SEHotspots,British_National_Grid,Polygon,0
BUFFERS\PIPEWORK_SEHotspots_TEMPORAL,British_National_Grid,Polygon,0
BUFFERS\PIPEWORK_STHotspots,British_National_Grid,Polygon,0
BUFFERS\PIPEWORK_STHotspots_TEMPORAL,British_National_Grid,Polygon,0
BUFFERS\POINT_SEHotspots,British_National_Grid,Polygon,0
BUFFERS\POINT_SEHotspots_TEMPORAL,British_National_Grid,Polygon,0
BUFFERS\POINT_STHotspots,British_National_Grid,Polygon,0
BUFFERS\POINT_STHotspots_TEMPORAL,British_National_Grid,Polygon,0
LiDAR\LiDAR_Points,British_National_Grid,Point,10473
LiDAR\LiDAR_Continuous,British_National_Grid,Polyline,459
Cutlines,British_National_Grid,Polyline,0
MP,British_National_Grid,Point,0
Flood_Events,British_National_Grid,Point,0
Flow_Direction,British_National_Grid,Point,0
FT_Planned_Schemes,British_National_Grid,Polygon,0
MASTER_MERGE,British_National_Grid,Point,0
Catchment_AREA6,British_National_Grid,Polygon,1176
PointSelected,British_National_Grid,Point,18551
PipedSelected,British_National_Grid,Polyline,3185
SurfaceSelected,British_National_Grid,Polyline,1527
